E	Xs54	E	xs56	E	xs57	E	xs58
2.48E+01	3.36E-02	2.48E+01	1.13E-18	2.48E+01	5.04E-11	2.47E+01	0.00E+00
2.49E+01	2.35E-02	2.49E+01	1.72E-19	2.49E+01	1.60E-11	2.48E+01	0.00E+00
2.50E+01	1.59E-02	2.50E+01	2.46E-20	2.50E+01	4.86E-12	2.49E+01	0.00E+00
2.51E+01	1.05E-02	2.51E+01	3.31E-21	2.51E+01	1.40E-12	2.50E+01	0.00E+00
2.52E+01	6.74E-03	2.52E+01	4.22E-22	2.52E+01	3.85E-13	2.51E+01	0.00E+00
2.53E+01	4.18E-03	2.53E+01	5.07E-23	2.53E+01	1.01E-13	2.52E+01	0.00E+00
2.54E+01	2.50E-03	2.54E+01	5.75E-24	2.54E+01	2.50E-14	2.53E+01	0.00E+00
2.55E+01	1.45E-03	2.55E+01	6.14E-25	2.55E+01	5.89E-15	2.54E+01	0.00E+00
2.56E+01	8.12E-04	2.56E+01	6.20E-26	2.56E+01	1.32E-15	2.55E+01	0.00E+00
2.57E+01	4.38E-04	2.57E+01	5.90E-27	2.57E+01	2.82E-16	2.56E+01	0.00E+00
2.58E+01	2.28E-04	2.58E+01	5.30E-28	2.58E+01	5.72E-17	2.57E+01	0.00E+00
2.59E+01	1.14E-04	2.59E+01	4.49E-29	2.59E+01	1.10E-17	2.58E+01	0.00E+00
2.60E+01	5.49E-05	2.60E+01	3.59E-30	2.60E+01	2.02E-18	2.59E+01	0.00E+00
2.61E+01	2.55E-05	2.61E+01	2.71E-31	2.61E+01	3.52E-19	2.60E+01	0.00E+00
2.62E+01	1.14E-05	2.62E+01	1.93E-32	2.62E+01	5.84E-20	2.61E+01	0.00E+00
2.63E+01	4.87E-06	2.63E+01	1.29E-33	2.63E+01	9.20E-21	2.62E+01	0.00E+00
2.64E+01	2.01E-06	2.64E+01	8.19E-35	2.64E+01	1.38E-21	2.63E+01	0.00E+00
2.65E+01	7.98E-07	2.65E+01	4.89E-36	2.65E+01	1.96E-22	2.64E+01	0.00E+00
2.66E+01	3.05E-07	2.66E+01	2.76E-37	2.66E+01	2.65E-23	2.65E+01	0.00E+00
2.67E+01	1.12E-07	2.67E+01	1.47E-38	2.67E+01	3.41E-24	2.66E+01	0.00E+00
2.68E+01	3.95E-08	2.68E+01	7.35E-40	2.68E+01	4.17E-25	2.67E+01	0.00E+00
2.69E+01	1.35E-08	2.69E+01	3.48E-41	2.69E+01	4.85E-26	2.68E+01	0.00E+00
2.70E+01	4.42E-09	2.70E+01	1.55E-42	2.70E+01	5.36E-27	2.69E+01	0.00E+00
2.71E+01	1.40E-09	2.71E+01	6.45E-44	2.71E+01	5.63E-28	2.70E+01	0.00E+00
2.72E+01	4.27E-10	2.72E+01	1.40E-45	2.72E+01	5.62E-29	2.71E+01	0.00E+00
2.73E+01	1.26E-10	2.73E+01	0.00E+00	2.73E+01	5.34E-30	2.72E+01	0.00E+00
2.74E+01	3.60E-11	2.74E+01	0.00E+00	2.74E+01	4.82E-31	2.73E+01	0.00E+00
2.75E+01	9.96E-12	2.75E+01	0.00E+00	2.75E+01	4.13E-32	2.74E+01	0.00E+00
2.76E+01	2.67E-12	2.76E+01	0.00E+00	2.76E+01	3.37E-33	2.75E+01	0.00E+00
2.77E+01	6.94E-13	2.77E+01	0.00E+00	2.77E+01	2.61E-34		
2.78E+01	1.75E-13	2.78E+01	0.00E+00	2.78E+01	1.92E-35		
2.79E+01	4.31E-14	2.79E+01	0.00E+00	2.79E+01	1.34E-36		
2.80E+01	1.03E-14	2.80E+01	0.00E+00	2.80E+01	8.95E-38		
2.81E+01	2.39E-15	2.81E+01	0.00E+00	2.81E+01	5.66E-39		
2.82E+01	5.41E-16	2.82E+01	0.00E+00	2.82E+01	3.40E-40		
2.83E+01	1.19E-16	2.83E+01	0.00E+00	2.83E+01	1.94E-41		
2.84E+01	2.53E-17	2.84E+01	0.00E+00	2.84E+01	1.06E-42		
2.85E+01	5.25E-18	2.85E+01	0.00E+00	2.85E+01	5.47E-44		
2.86E+01	1.05E-18	2.86E+01	0.00E+00	2.86E+01	2.80E-45		
2.87E+01	2.05E-19	2.87E+01	0.00E+00	2.87E+01	0.00E+00		
2.88E+01	3.85E-20	2.88E+01	0.00E+00	2.88E+01	0.00E+00		
2.89E+01	6.99E-21	2.89E+01	0.00E+00	2.89E+01	0.00E+00		
2.90E+01	1.23E-21	2.90E+01	0.00E+00	2.90E+01	0.00E+00		
2.91E+01	2.08E-22	2.91E+01	0.00E+00	2.91E+01	0.00E+00		
2.92E+01	3.39E-23	2.92E+01	0.00E+00	2.92E+01	0.00E+00		
2.93E+01	5.34E-24	2.93E+01	0.00E+00	2.93E+01	0.00E+00		
2.94E+01	8.10E-25	2.94E+01	0.00E+00	2.94E+01	0.00E+00		
2.95E+01	1.18E-25	2.95E+01	0.00E+00	2.95E+01	0.00E+00		
2.96E+01	1.66E-26	2.96E+01	0.00E+00	2.96E+01	0.00E+00		
2.97E+01	2.25E-27	2.97E+01	0.00E+00	2.97E+01	0.00E+00		
2.98E+01	2.92E-28	2.98E+01	0.00E+00	2.98E+01	0.00E+00		
