#EN,E,ANG,DATA,ERR-S
60.7,10.8,90,0.31,0.13
60.7,12.8,90,0.12,0.13
60.7,14.8,90,0.31,0.11
60.7,16.8,90,0.12,0.13
60.7,18.8,90,-0.06,0.12
60.7,20.8,90,0.25,0.09
60.7,22.8,90,0.19,0.1
60.7,24.8,90,0.13,0.06
60.7,26.8,90,0.08,0.09
60.7,28.8,90,0.14,0.08
60.7,30.8,90,0.04,0.09
60.7,2.8,130,0.45,0.12
60.7,8.8,130,0.03,0.1
60.7,10.8,130,0.18,0.12
60.7,12.8,130,0.28,0.11
60.7,14.8,130,0.18,0.12
60.7,16.8,130,0.02,0.13
60.7,18.8,130,-0.03,0.14
60.7,20.8,130,-0.05,0.14
60.7,22.8,130,0.23,0.1
60.7,24.8,130,0.1,0.05
60.7,26.8,130,0.04,0.03
60.7,28.8,130,0.06,0.05
60.7,30.8,130,0.03,0.03
60.7,2.8,150,0.42,0.1
60.7,8.8,150,0.25,0.13
60.7,10.8,150,0.18,0.19
60.7,12.8,150,0.17,0.21
60.7,14.8,150,-0.04,0.23
60.7,16.8,150,-0.28,0.23
60.7,18.8,150,0.13,0.23
60.7,20.8,150,0.21,0.21
60.7,22.8,150,-0.1,0.19
60.7,24.8,150,0.04,0.1
60.7,26.8,150,-0.01,0.09
60.7,28.8,150,-0.01,0.08
60.7,30.8,150,-0.14,0.12
